ID,SKU,Nombre,Visibilidad en el catálogo,Precio normal,Meta: unidades_por_caja,Meta: el_producto_es_simple
1515,,Guirnalda 10 leds (x10 unidades),visible,,,
1523,ZLE-861-10MU,Guirnalda 10 leds (x10 unidades),visible,800,1,
1527,,Alambre 30 leds (AA),visible,,,Simple
1528,ZLE871-SF-AA30VI,Alambre 30 leds (AA),visible,27000,50,
1529,ZLE871-SF-AA30RS,Alambre 30 leds (AA),visible,27000,50,
1534,,Alambre 50 leds,visible,,,Simple
1535,ZLE871-SF-AA50MU,"Alambre 50 leds - Paquete, Multicolor",visible,970,1,
1536,ZLE871-SF-AA50CA,"Alambre 50 leds - Paquete, Calido",visible,970,1,
1539,ZLE-861-10CA,Guirnalda 10 leds (x10 unidades),visible,800,,
1540,ZLE-861-10BL,Guirnalda 10 leds (x10 unidades),visible,800,,
1541,ZLE-861-10MU,Guirnalda 10 leds (x10 unidades),visible,20700,30,
1542,ZLE861-10CA,Guirnalda 10 leds (x10 unidades),visible,20700,30,
1543,ZLE-861-10BL,Guirnalda 10 leds (x10 unidades),visible,20700,30,
1546,,Guirnalda 20 leds (x10 unidades),visible,,,Simple
1547,ZLE861-SF-20MU,Guirnalda 20 leds (x10 unidades),visible,1200,1,
1548,ZLE861-SF-20CA,Guirnalda 20 leds (x10 unidades),visible,1200,,
1549,ZLE861-SF-20BL,Guirnalda 20 leds (x10 unidades),visible,1200,,
1550,ZLE861-SF-20BL,Guirnalda 20 leds (x10 unidades),visible,20700,20,
1551,ZLE861-SF-20MU,Guirnalda 20 leds (x10 unidades),visible,20700,20,
1552,ZLE861-SF-20CA,Guirnalda 20 leds (x10 unidades),visible,20700,20,
1572,,Guirnalda 30 leds (x10 unidades),visible,,,
1573,ZLE861-SF-30MU,Guirnalda 30 leds (x10 unidades),visible,1600,1,
1574,ZLE861-SF-30CA,Guirnalda 30 leds (x10 unidades),visible,1600,,
1575,ZLE861-SF-30BL,Guirnalda 30 leds (x10 unidades),visible,1600,,
1576,ZLE861-SF-30BL,Guirnalda 30 leds (x10 unidades),visible,27400,20,
1577,ZLE861-SF-30MU,Guirnalda 30 leds (x10 unidades),visible,27400,20,
1578,ZLE861-SF-30CA,Guirnalda 30 leds (x10 unidades),visible,27400,20,
1580,,Guirnalda 50 leds (x10 unidades),visible,,,Simple
1581,ZLE861-SF-50MU,Guirnalda 50 leds (x10 unidades),visible,2180,1,
1582,ZLE861-SF-50CA,Guirnalda 50 leds (x10 unidades),visible,2180,,
1583,ZLE861-SF-50BL,Guirnalda 50 leds (x10 unidades),visible,2180,,
1584,ZLE861-SF-50BL,Guirnalda 50 leds (x10 unidades),visible,18800,20,
1585,ZLE861-SF-50MU,Guirnalda 50 leds (x10 unidades),visible,18800,20,
1586,ZLE861-SF-50CA,Guirnalda 50 leds (x10 unidades),visible,18800,20,
1588,,Guirnalda 80 leds (x10 unidades),visible,,,
1589,ZLE861-SF-80MU,Guirnalda 80 leds (x10 unidades),visible,3500,1,
1590,ZLE861-SF-80CA,Guirnalda 80 leds (x10 unidades),visible,3500,,
1591,ZLE861-SF-80BL,Guirnalda 80 leds (x10 unidades),visible,3500,,
1592,ZLE861-SF-80BL,Guirnalda 80 leds (x10 unidades),visible,30000,20,
1593,ZLE861-SF-80MU,Guirnalda 80 leds (x10 unidades),visible,30000,20,
1594,ZLE861-SF-80CA,Guirnalda 80 leds (x10 unidades),visible,30000,20,
1595,,Guirnalda 100 leds (x10 unidades),visible,,,
1596,ZL859-SW-100MU,Guirnalda 100 leds (x10 unidades),visible,3800,1,
1597,ZL859-SW-100CA,Guirnalda 100 leds (x10 unidades),visible,3800,,
1598,ZL859-SW-100BL,Guirnalda 100 leds (x10 unidades),visible,3800,,
1599,ZL859-SW-100BL,Guirnalda 100 leds (x10 unidades),visible,64000,20,
1600,ZL859-SW-100MU,Guirnalda 100 leds (x10 unidades),visible,64000,20,
1601,ZL859-SW-100CA,Guirnalda 100 leds (x10 unidades),visible,64000,20,
1602,ZL859-SW-100AZ,Guirnalda 100 leds (x10 unidades),visible,64000,,
1603,ZL859-SW-100AZ,Guirnalda 100 leds (x10 unidades),visible,3800,,
1604,,Guirnalda gota de agua,visible,,,Simple
1605,ZLS-857-11MU,Guirnalda gota de agua,visible,14000,100,
1606,ZLS-857-11CA,Guirnalda gota de agua,visible,14000,100,
1607,ZLS-857-11BL,Guirnalda gota de agua,visible,14000,100,
1608,ZLS-857-11MU,Guirnalda gota de agua,visible,160,,
1609,ZLS-857-11CA,Guirnalda gota de agua,visible,160,,
1610,ZLS-857-11BL,Guirnalda gota de agua,visible,160,,
1612,,Guirnalda bolitas blancas,visible,,,Simple
1613,ZLE-860-1MU,Guirnalda bolitas blancas,visible,18000,100,
1614,ZLE-860-1CA,Guirnalda bolitas blancas,visible,18000,100,
1615,ZLE-860-1BL,Guirnalda bolitas blancas,visible,18000,100,
1616,ZLE-860-1MU,Guirnalda bolitas blancas,visible,210,,
1617,ZLE-860-1CA,Guirnalda bolitas blancas,visible,210,,
1618,ZLE-860-1BL,Guirnalda bolitas blancas,visible,210,,
1620,,Guirnalda bolitas transparentes,visible,,,Simple
1621,ZLE-860-2MU,Guirnalda bolitas transparentes,visible,18000,100,
1622,ZLE-860-2CA,Guirnalda bolitas transparentes,visible,18000,100,
1623,ZLE-860-2BL,Guirnalda bolitas transparentes,visible,18000,100,
1624,ZLE-860-2MU,Guirnalda bolitas transparentes,visible,210,,
1625,ZLE-860-2CA,Guirnalda bolitas transparentes,visible,210,,
1626,ZLE-860-2BL,Guirnalda bolitas transparentes,visible,210,,
1629,,Guirnalda broche de corazon,visible,,,
1631,ZLS-857-12CA,Guirnalda broche de corazon,visible,24500,100,
1634,ZLS-857-12CA,Guirnalda broche de corazon,visible,280,,
1638,,Alambre 30 leds (CR2032),visible,,,Simple
1639,ZL861-SF-TT30RJ,Alambre 30 leds (CR2032),visible,46800,40,
